Ticker,Open,High,Low,Close,ChangePercent-1,ChangePercent-2,RangeNet,RangePercent,RangePercent-1,RangePercent-2,WeekdayNum,Weekday,target
_SPXD,1259.92,1263.86,1257.21,1259.62,-0.58,-0.28,6.65,0.53,0.89,0.62,3,3_Tue,No
_SPXD,1259.62,1269.37,1259.62,1262.79,-0.02,-0.58,9.75,0.77,0.53,0.89,4,4_Wed,No
_SPXD,1262.79,1268.19,1262.5,1268.12,0.25,-0.02,5.69,0.45,0.77,0.53,5,5_Thu,Yes
_SPXD,1268.12,1269.76,1265.92,1268.66,0.42,0.25,3.84,0.3,0.45,0.77,6,6_Fri,Yes
_SPXD,1268.66,1271.83,1256.54,1256.54,0.04,0.42,15.29,1.21,0.3,0.45,3,3_Tue,No
_SPXD,1256.54,1261.1,1256.54,1258.17,-0.96,0.04,4.56,0.36,1.21,0.3,4,4_Wed,No
_SPXD,1258.17,1260.61,1254.18,1254.42,0.13,-0.96,6.43,0.51,0.36,1.21,5,5_Thu,No
_SPXD,1254.42,1254.42,1246.59,1248.29,-0.3,0.13,7.83,0.62,0.51,0.36,6,6_Fri,No
_SPXD,1248.29,1270.22,1245.74,1268.8,-0.49,-0.3,24.48,1.96,0.62,0.51,3,3_Tue,No
_SPXD,1268.8,1275.37,1267.74,1273.46,1.64,-0.49,7.63,0.6,1.96,0.62,4,4_Wed,Yes
_SPXD,1273.46,1276.91,1270.3,1273.48,0.37,1.64,6.61,0.52,0.6,1.96,5,5_Thu,Yes
_SPXD,1273.48,1286.09,1273.48,1285.45,0,0.37,12.61,0.99,0.52,0.6,6,6_Fri,Yes
_SPXD,1285.45,1290.78,1284.82,1290.15,0.94,0,5.96,0.46,0.99,0.52,2,2_Mon,Yes
_SPXD,1290.15,1290.15,1283.76,1289.69,0.37,0.94,6.39,0.5,0.46,0.99,3,3_Tue,No
_SPXD,1289.72,1294.9,1288.12,1294.18,-0.04,0.37,6.78,0.53,0.5,0.46,4,4_Wed,No
_SPXD,1294.18,1294.18,1285.04,1286.06,0.35,-0.04,9.14,0.71,0.53,0.5,5,5_Thu,No
_SPXD,1286.06,1288.96,1282.78,1287.61,-0.63,0.35,6.18,0.48,0.71,0.53,6,6_Fri,No
_SPXD,1287.61,1287.61,1278.61,1282.93,0.12,-0.63,9,0.7,0.48,0.71,3,3_Tue,No
_SPXD,1282.93,1282.93,1272.08,1277.93,-0.36,0.12,10.85,0.85,0.7,0.48,4,4_Wed,No
_SPXD,1277.93,1287.79,1277.93,1285.04,-0.39,-0.36,9.86,0.77,0.85,0.7,5,5_Thu,No
_SPXD,1285.04,1285.04,1260.92,1261.49,0.56,-0.39,24.12,1.88,0.77,0.85,6,6_Fri,No
_SPXD,1261.49,1268.19,1261.49,1263.82,-1.83,0.56,6.7,0.53,1.88,0.77,2,2_Mon,No
_SPXD,1263.82,1271.47,1263.82,1266.86,0.18,-1.83,7.65,0.61,0.53,1.88,3,3_Tue,Yes
_SPXD,1266.86,1271.87,1259.42,1264.68,0.24,0.18,12.45,0.98,0.61,0.53,4,4_Wed,No
_SPXD,1264.68,1276.44,1264.68,1273.83,-0.17,0.24,11.76,0.93,0.98,0.61,5,5_Thu,No
_SPXD,1273.83,1286.38,1273.83,1283.72,0.72,-0.17,12.55,0.99,0.93,0.98,6,6_Fri,Yes
_SPXD,1283.72,1287.94,1283.51,1285.2,0.78,0.72,4.43,0.35,0.99,0.93,2,2_Mon,Yes
_SPXD,1285.2,1285.2,1276.85,1280.08,0.12,0.78,8.35,0.65,0.35,0.99,3,3_Tue,No
_SPXD,1280.08,1283.33,1277.57,1282.46,-0.4,0.12,5.76,0.45,0.65,0.35,4,4_Wed,No
_SPXD,1282.46,1282.46,1267.72,1270.84,0.19,-0.4,14.74,1.15,0.45,0.65,5,5_Thu,No
_SPXD,1270.84,1270.87,1261.02,1264.03,-0.91,0.19,9.85,0.78,1.15,0.45,6,6_Fri,No
_SPXD,1264.03,1267.04,1261.62,1265.02,-0.54,-0.91,5.42,0.43,0.78,1.15,2,2_Mon,No
_SPXD,1265.02,1265.78,1253.61,1254.78,0.08,-0.54,12.17,0.96,0.43,0.78,3,3_Tue,No
_SPXD,1254.78,1266.47,1254.78,1265.65,-0.81,0.08,11.69,0.93,0.96,0.43,4,4_Wed,No
_SPXD,1265.65,1274.56,1262.8,1263.78,0.87,-0.81,11.76,0.93,0.93,0.96,5,5_Thu,No
_SPXD,1263.82,1269.89,1254.98,1266.99,-0.15,0.87,14.91,1.18,0.93,0.93,6,6_Fri,No
_SPXD,1266.99,1266.99,1258.34,1262.86,0.25,-0.15,8.65,0.68,1.18,0.93,2,2_Mon,No
_SPXD,1262.86,1278.21,1260.8,1275.53,-0.33,0.25,17.41,1.38,0.68,1.18,3,3_Tue,No
_SPXD,1275.53,1281,1271.06,1280,1,-0.33,9.94,0.78,1.38,0.68,4,4_Wed,Yes
_SPXD,1280,1289.39,1280,1289.38,0.35,1,9.39,0.73,0.78,1.38,5,5_Thu,Yes
_SPXD,1289.38,1289.47,1284.07,1287.24,0.73,0.35,5.4,0.42,0.73,0.78,6,6_Fri,No
_SPXD,1287.24,1291.92,1281.33,1283.04,-0.17,0.73,10.59,0.82,0.42,0.73,3,3_Tue,No
_SPXD,1283.03,1294.17,1283.03,1292.67,-0.33,-0.17,11.14,0.87,0.82,0.42,4,4_Wed,No
_SPXD,1292.67,1293.84,1285.14,1287.79,0.75,-0.33,8.7,0.67,0.87,0.82,5,5_Thu,No
_SPXD,1287.79,1292.11,1285.62,1289.43,-0.38,0.75,6.49,0.5,0.67,0.87,6,6_Fri,No
_SPXD,1289.43,1297.57,1289.43,1294.12,0.13,-0.38,8.14,0.63,0.5,0.67,2,2_Mon,Yes
_SPXD,1294.12,1294.12,1278.66,1280.66,0.36,0.13,15.46,1.19,0.63,0.5,3,3_Tue,No
_SPXD,1280.66,1291.8,1280.66,1291.24,-1.04,0.36,11.14,0.87,1.19,0.63,4,4_Wed,No
_SPXD,1291.24,1291.24,1283.21,1289.14,0.83,-1.04,8.03,0.62,0.87,1.19,5,5_Thu,No
_SPXD,1289.14,1297.33,1284.2,1287.23,-0.16,0.83,13.13,1.02,0.62,0.87,6,6_Fri,No
_SPXD,1287.23,1288.23,1275.67,1278.26,-0.15,-0.16,12.56,0.98,1.02,0.62,2,2_Mon,No
_SPXD,1278.26,1278.26,1271.11,1275.88,-0.7,-0.15,7.15,0.56,0.98,1.02,3,3_Tue,No
_SPXD,1275.88,1280.33,1268.42,1278.47,-0.19,-0.7,11.91,0.93,0.56,0.98,4,4_Wed,No
_SPXD,1278.47,1282.74,1272.23,1272.23,0.2,-0.19,10.51,0.82,0.93,0.56,5,5_Thu,No
_SPXD,1272.23,1284.37,1271.11,1281.58,-0.49,0.2,13.26,1.04,0.82,0.93,6,6_Fri,No
_SPXD,1281.58,1287.37,1281.58,1284.13,0.73,-0.49,5.79,0.45,1.04,0.82,2,2_Mon,Yes
_SPXD,1284.13,1298.14,1282.67,1297.48,0.2,0.73,15.47,1.2,0.45,1.04,3,3_Tue,Yes
_SPXD,1297.48,1304.4,1294.97,1303.02,1.04,0.2,9.43,0.73,1.2,0.45,4,4_Wed,Yes
_SPXD,1303.02,1310.45,1303.02,1305.33,0.43,1.04,7.43,0.57,0.73,1.2,5,5_Thu,Yes
_SPXD,1305.33,1309.79,1305.32,1307.25,0.18,0.43,4.47,0.34,0.57,0.73,6,6_Fri,Yes
_SPXD,1307.25,1310,1303.59,1305.08,0.15,0.18,6.41,0.49,0.34,0.57,2,2_Mon,No
_SPXD,1305.08,1310.88,1295.82,1297.23,-0.17,0.15,15.06,1.15,0.49,0.34,3,3_Tue,No
_SPXD,1297.23,1305.97,1295.81,1305.04,-0.6,-0.17,10.16,0.78,1.15,0.49,4,4_Wed,No
_SPXD,1305.04,1305.04,1298.11,1301.67,0.6,-0.6,6.93,0.53,0.78,1.15,5,5_Thu,No
_SPXD,1301.67,1306.53,1298.89,1302.95,-0.26,0.6,7.64,0.59,0.53,0.78,6,6_Fri,No
_SPXD,1302.95,1303.74,1299.09,1301.61,0.1,-0.26,4.65,0.36,0.59,0.53,2,2_Mon,No
_SPXD,1301.61,1306.24,1291.84,1293.23,-0.1,0.1,14.4,1.11,0.36,0.59,3,3_Tue,No
_SPXD,1293.23,1305.6,1293.23,1302.89,-0.64,-0.1,12.37,0.96,1.11,0.36,4,4_Wed,No
_SPXD,1302.89,1310.15,1296.72,1300.25,0.75,-0.64,13.43,1.03,0.96,1.11,5,5_Thu,No
_SPXD,1300.25,1303,1294.83,1294.83,-0.2,0.75,8.17,0.63,1.03,0.96,6,6_Fri,No
_SPXD,1302.88,1309.19,1296.65,1297.81,-0.42,-0.2,12.54,0.97,0.63,1.03,2,2_Mon,No
_SPXD,1297.81,1307.55,1294.71,1305.93,0.23,-0.42,12.84,0.99,0.97,0.63,3,3_Tue,Yes
_SPXD,1305.93,1312.81,1304.82,1311.56,0.63,0.23,7.99,0.61,0.99,0.97,4,4_Wed,Yes
_SPXD,1311.56,1311.99,1302.44,1309.04,0.43,0.63,9.55,0.73,0.61,0.99,5,5_Thu,No
_SPXD,1309.04,1314.07,1294.18,1295.5,-0.19,0.43,19.89,1.52,0.73,0.61,6,6_Fri,No
_SPXD,1295.51,1300.74,1293.17,1296.62,-1.03,-0.19,7.57,0.58,1.52,0.73,2,2_Mon,No
